rank	support	file	pattern
124	29	124_ky_l56_sfx_kyfunc_l34.txt	KY_L56_SFX=ган KYFUNC_L34
125	29	125_ky_l78_kyfunc_l12.txt	KY_L78 KYFUNC_L12
126	28	126_kyfunc_l34_alt.txt	KYFUNC_L34 ALT=или
127	28	127_alt_amb_l34_hyph_amb_l34.txt	ALT=или AMB_L34 HYPH AMB_L34
128	28	128_alt_amb_l34_hyph_amb_l56.txt	ALT=или AMB_L34 HYPH AMB_L56
129	28	129_ky_l56_amb_l56_kyfunc_l56.txt	KY_L56 AMB_L56 KYFUNC_L56
130	28	130_kyfunc_l12_ruf_l56.txt	KYFUNC_L12 RUF_L56
131	28	131_kyfunc_l34_ky_l78.txt	KYFUNC_L34 KY_L78
132	28	132_kyfunc_l34_ru_l9p_sfx.txt	KYFUNC_L34 RU_L9P_SFX=ый
133	26	133_ruf_l12_tozhe_comma_ruf_wl_semi.txt	RUF_L12 TOZHE=же COMMA RUF=что WL SEMI
134	27	134_kyfunc_l56_ruf_l12_amb_l56_ruf_l12.txt	KYFUNC_L56 RUF_L12 AMB_L56 RUF_L12
135	27	135_kyfunc_l56_ruf_l12_amb_l78_ruf_l12.txt	KYFUNC_L56 RUF_L12 AMB_L78 RUF_L12
136	27	136_amb_l34_amb_l56_kyfunc_l56_ruf_l12.txt	AMB_L34 AMB_L56 KYFUNC_L56 RUF_L12
137	27	137_amb_l56_kyfunc_l34_ruf_l12_amb_l34.txt	AMB_L56 KYFUNC_L34 RUF_L12 AMB_L34
138	27	138_amb_l56_kyfunc_l56_ruf_l34.txt	AMB_L56 KYFUNC_L56 RUF_L34
139	27	139_kyfunc_l34_ruf_l34_amb_l34.txt	KYFUNC_L34 RUF_L34 AMB_L34
140	27	140_kyfunc_l34_ruf_l56.txt	KYFUNC_L34 RUF_L56
141	27	141_ky_l78_sfx_kyfunc_l34.txt	KY_L78_SFX=ган KYFUNC_L34
142	27	142_ru_l56_spdash.txt	RU_L56 SPDASH
143	26	143_ky_l56_sfx_kyfunc_l56_ruf_l12.txt	KY_L56_SFX=уп KYFUNC_L56 RUF_L12
144	26	144_hyph_amb_l56_alt_amb_l56.txt	HYPH AMB_L56 ALT=или AMB_L56
145	26	145_kyfunc_l56_ruf_l12_amb_l34_amb_l56.txt	KYFUNC_L56 RUF_L12 AMB_L34 AMB_L56
146	26	146_alt_ky_l34_amb_l56.txt	ALT=или KY_L34 AMB_L56
147	26	147_amb_l34_ky_l34_kyfunc_l56.txt	AMB_L34 KY_L34 KYFUNC_L56
148	26	148_hyph_amb_l34_alt.txt	HYPH AMB_L34 ALT=или
149	26	149_hyph_amb_l56_kyfunc_l56_sfx.txt	HYPH AMB_L56 KYFUNC_L56_SFX=уп
150	26	150_ruf_l12_amb_l56_alt.txt	RUF_L12 AMB_L56 ALT=или
151	26	151_ruf_l34_spdash.txt	RUF_L34 SPDASH
